epoch,lr-Adam,step,test_loss,test_r2,train_loss_epoch,train_loss_step,val_loss
,0.0001,0,,,,,
0,,49,,,,0.0020490922033786774,
0,,99,,,,0.0037299185059964657,
0,,149,,,,0.0032322201877832413,
0,,199,,,,0.0029582688584923744,
0,,249,,,,0.0018366764998063445,
0,,299,,,,0.0014811040600761771,
0,,349,,,,0.0013570766896009445,
0,,399,,,,0.0012515480630099773,
0,,449,,,,0.0009594107395969331,
0,,499,,,,0.0012392562348395586,
0,,549,,,,0.001071973005309701,
0,,562,,,,,0.0013381729368120432
0,,562,,,0.00197963765822351,,
,0.0001,563,,,,,
1,,599,,,,0.0007510013529099524,
1,,649,,,,0.001507089240476489,
1,,699,,,,0.0010693653021007776,
1,,749,,,,0.0004560085362754762,
1,,799,,,,0.0007025279919616878,
1,,849,,,,0.00032570911571383476,
1,,899,,,,0.00048307195538654923,
1,,949,,,,0.0005023058620281518,
1,,999,,,,0.0003744985442608595,
1,,1049,,,,0.000370295369066298,
1,,1099,,,,0.0004208181344438344,
1,,1125,,,,,0.0007654314977116883
1,,1125,,,0.0005962920258753002,,
,0.0001,1126,,,,,
2,,1149,,,,0.0003117778687737882,
2,,1199,,,,0.00031204943661578,
2,,1249,,,,0.00028339886921457946,
2,,1299,,,,0.0001689931086730212,
2,,1349,,,,0.0002447250881232321,
2,,1399,,,,0.0002441088727209717,
2,,1449,,,,0.00025579199427738786,
2,,1499,,,,0.00019497751782182604,
2,,1549,,,,0.00017900802777148783,
2,,1599,,,,0.00017072554328478873,
2,,1649,,,,0.00021111199748702347,
2,,1688,,,,,0.0006272246828302741
2,,1688,,,0.00022432931291405112,,
,0.0001,1689,,,,,
3,,1699,,,,0.00018934928812086582,
3,,1749,,,,9.32165639824234e-05,
3,,1799,,,,0.00011747650569304824,
3,,1849,,,,0.0001277124392800033,
3,,1899,,,,0.00012963164772372693,
3,,1949,,,,9.226887777913362e-05,
3,,1999,,,,0.00013622311234939843,
3,,2049,,,,9.986308577936143e-05,
3,,2099,,,,0.0001500986545579508,
3,,2149,,,,0.00012086409697076306,
3,,2199,,,,0.00014338101027533412,
3,,2249,,,,8.143699960783124e-05,
3,,2251,,,,,0.0006106364307925105
3,,2251,,,0.0001240152632817626,,
,0.0001,2252,,,,,
4,,2299,,,,5.160237196832895e-05,
4,,2349,,,,7.992509927134961e-05,
4,,2399,,,,0.0001389138342346996,
4,,2449,,,,0.00015163305215537548,
4,,2499,,,,9.580580808687955e-05,
4,,2549,,,,0.00011831196025013924,
4,,2599,,,,0.0001053388332366012,
4,,2649,,,,7.458065374521539e-05,
4,,2699,,,,8.803723903838545e-05,
4,,2749,,,,6.36268305242993e-05,
4,,2799,,,,7.039754564175382e-05,
4,,2814,,,,,0.0005843508988618851
4,,2814,,,0.00010176840441999957,,
,0.0001,2815,,,,,
5,,2849,,,,6.276609201449901e-05,
5,,2899,,,,0.00011761447240132838,
5,,2949,,,,0.000154568551806733,
5,,2999,,,,5.813079042127356e-05,
5,,3049,,,,6.889174255775288e-05,
5,,3099,,,,6.224501703400165e-05,
5,,3149,,,,8.02556169219315e-05,
5,,3199,,,,8.116492244880646e-05,
5,,3249,,,,8.598656859248877e-05,
5,,3299,,,,5.530876660486683e-05,
5,,3349,,,,8.187304774764925e-05,
5,,3377,,,,,0.0005596792907454073
5,,3377,,,7.63778734835796e-05,,
,0.0001,3378,,,,,
6,,3399,,,,5.342237272998318e-05,
6,,3449,,,,6.061376552679576e-05,
6,,3499,,,,6.808566104155034e-05,
6,,3549,,,,4.566671123029664e-05,
6,,3599,,,,7.264633313752711e-05,
6,,3649,,,,4.93806874146685e-05,
6,,3699,,,,6.795492663513869e-05,
6,,3749,,,,3.55340052919928e-05,
6,,3799,,,,6.61417143419385e-05,
6,,3849,,,,4.399882527650334e-05,
6,,3899,,,,6.633315206272528e-05,
6,,3940,,,,,0.0005883673438802361
6,,3940,,,5.630411033052951e-05,,
,0.0001,3941,,,,,
7,,3949,,,,6.514946289826185e-05,
7,,3999,,,,6.719799421261996e-05,
7,,4049,,,,7.661677955184132e-05,
7,,4099,,,,5.213229087530635e-05,
7,,4149,,,,4.799783346243203e-05,
7,,4199,,,,4.094404721399769e-05,
7,,4249,,,,8.561467257095501e-05,
7,,4299,,,,6.360501720337197e-05,
7,,4349,,,,6.42105151200667e-05,
7,,4399,,,,4.672249633586034e-05,
7,,4449,,,,5.0857233873102814e-05,
7,,4499,,,,8.10611090855673e-05,
7,,4503,,,,,0.0005950679769739509
7,,4503,,,5.8758498198585585e-05,,
,0.0001,4504,,,,,
8,,4549,,,,2.8572809242177755e-05,
8,,4599,,,,3.255340925534256e-05,
8,,4649,,,,2.6907982828561217e-05,
8,,4699,,,,3.849616041406989e-05,
8,,4749,,,,4.7942819946911186e-05,
8,,4799,,,,3.618703703978099e-05,
8,,4849,,,,3.938760346500203e-05,
8,,4899,,,,4.6983004722278565e-05,
8,,4949,,,,5.10394929733593e-05,
8,,4999,,,,3.961830589105375e-05,
8,,5049,,,,4.184028148301877e-05,
8,,5066,,,,,0.0005537258693948388
8,,5066,,,4.4029966375092044e-05,,
,0.0001,5067,,,,,
9,,5099,,,,2.209955891885329e-05,
9,,5149,,,,3.091076359851286e-05,
9,,5199,,,,2.5112618459388614e-05,
9,,5249,,,,3.5341308830538765e-05,
9,,5299,,,,4.452730354387313e-05,
9,,5349,,,,4.04312158934772e-05,
9,,5399,,,,2.3419284843839705e-05,
9,,5449,,,,7.34384375391528e-05,
9,,5499,,,,4.128768341615796e-05,
9,,5549,,,,3.466492489678785e-05,
9,,5599,,,,3.487923095235601e-05,
9,,5629,,,,,0.0005744455847889185
9,,5629,,,3.8986883737379685e-05,,
,0.0001,5630,,,,,
10,,5649,,,,3.808759356616065e-05,
10,,5699,,,,3.726189606823027e-05,
10,,5749,,,,4.5729615521850064e-05,
10,,5799,,,,3.229927096981555e-05,
10,,5849,,,,2.999457501573488e-05,
10,,5899,,,,3.0482380680041388e-05,
10,,5949,,,,3.206098699592985e-05,
10,,5999,,,,2.9007327611907385e-05,
10,,6049,,,,3.42394741892349e-05,
10,,6099,,,,2.1307067072484642e-05,
10,,6149,,,,3.411849684198387e-05,
10,,6192,,,,,0.0005824313848279417
10,,6192,,,3.6111912777414545e-05,,
,0.0001,6193,,,,,
11,,6199,,,,2.7251404389971867e-05,
11,,6249,,,,3.7770696508232504e-05,
11,,6299,,,,5.1143688324373215e-05,
11,,6349,,,,4.2672138079069555e-05,
11,,6399,,,,3.59480400220491e-05,
11,,6449,,,,3.5617656976683065e-05,
11,,6499,,,,2.5814446416916326e-05,
11,,6549,,,,3.629685670603067e-05,
11,,6599,,,,2.5726196327013895e-05,
11,,6649,,,,1.8275040929438546e-05,
11,,6699,,,,2.4197408492909744e-05,
11,,6749,,,,7.773129618726671e-05,
11,,6755,,,,,0.0004991571186110377
11,,6755,,,3.7658701330656186e-05,,
,0.0001,6756,,,,,
12,,6799,,,,3.3813055779319257e-05,
12,,6849,,,,2.8879658202640712e-05,
12,,6899,,,,1.4400109648704529e-05,
12,,6949,,,,4.198270835331641e-05,
12,,6999,,,,2.8548749469337054e-05,
12,,7049,,,,3.1816169212106615e-05,
12,,7099,,,,1.704556962067727e-05,
12,,7149,,,,2.8958609618712217e-05,
12,,7199,,,,2.215453059761785e-05,
12,,7249,,,,2.1796855435241014e-05,
12,,7299,,,,2.3014046746538952e-05,
12,,7318,,,,,0.0004926949623040855
12,,7318,,,3.343696516822092e-05,,
,0.0001,7319,,,,,
13,,7349,,,,4.851884295931086e-05,
13,,7399,,,,2.4433718863292597e-05,
13,,7449,,,,2.6099125534528866e-05,
13,,7499,,,,2.290355769218877e-05,
13,,7549,,,,6.106331420596689e-05,
13,,7599,,,,4.459368210518733e-05,
13,,7649,,,,2.9604685551021248e-05,
13,,7699,,,,3.3888700272655115e-05,
13,,7749,,,,1.6069685443653725e-05,
13,,7799,,,,2.4879689590306953e-05,
13,,7849,,,,3.525876672938466e-05,
13,,7881,,,,,0.0005524404114112258
13,,7881,,,3.275317430961877e-05,,
,0.0001,7882,,,,,
14,,7899,,,,3.012422166648321e-05,
14,,7949,,,,3.33050120389089e-05,
14,,7999,,,,1.6369353033951484e-05,
14,,8049,,,,1.8048907804768533e-05,
14,,8099,,,,1.8584962163004093e-05,
14,,8149,,,,2.8334643502603285e-05,
14,,8199,,,,1.5590543625876307e-05,
14,,8249,,,,2.1618176106130704e-05,
14,,8299,,,,2.6450517907505855e-05,
14,,8349,,,,2.6636324037099257e-05,
14,,8399,,,,1.835838338593021e-05,
14,,8444,,,,,0.0005377534544095397
14,,8444,,,2.3756041628075764e-05,,
,0.0001,8445,,,,,
15,,8449,,,,2.2472346245194785e-05,
15,,8499,,,,1.5830417396500707e-05,
15,,8549,,,,2.0272618712624535e-05,
15,,8599,,,,1.421214528818382e-05,
15,,8649,,,,2.196842797275167e-05,
15,,8699,,,,1.9119048374705017e-05,
15,,8749,,,,2.9187658583396114e-05,
15,,8799,,,,2.46090603468474e-05,
15,,8849,,,,2.5898880267050117e-05,
15,,8899,,,,2.564685019024182e-05,
15,,8949,,,,1.9472676285658963e-05,
15,,8999,,,,3.65463929483667e-05,
15,,9007,,,,,0.0004831875558011234
15,,9007,,,2.303309338458348e-05,,
,0.0001,9008,,,,,
16,,9049,,,,3.082453986280598e-05,
16,,9099,,,,2.187308928114362e-05,
16,,9149,,,,2.6028465072158724e-05,
16,,9199,,,,5.569079803535715e-05,
16,,9249,,,,2.462033626215998e-05,
16,,9299,,,,4.70170343760401e-05,
16,,9349,,,,1.864171281340532e-05,
16,,9399,,,,2.1881329303141683e-05,
16,,9449,,,,3.370485137565993e-05,
16,,9499,,,,3.2640251447446644e-05,
16,,9549,,,,2.8729784389724955e-05,
16,,9570,,,,,0.0004898463375866413
16,,9570,,,2.628357287903782e-05,,
,0.0001,9571,,,,,
17,,9599,,,,2.9390586860245094e-05,
17,,9649,,,,1.7667814972810447e-05,
17,,9699,,,,3.2561205443926156e-05,
17,,9749,,,,3.261188976466656e-05,
17,,9799,,,,1.9366749256732874e-05,
17,,9849,,,,1.3052930626145098e-05,
17,,9899,,,,2.6829278795048594e-05,
17,,9949,,,,2.3349790353677236e-05,
17,,9999,,,,4.1941901145037264e-05,
17,,10049,,,,1.7959304386749864e-05,
17,,10099,,,,1.649371552048251e-05,
17,,10133,,,,,0.0006166171515360475
17,,10133,,,2.5287414246122353e-05,,
,0.0001,10134,,,,,
18,,10149,,,,4.721962977782823e-05,
18,,10199,,,,1.0685067536542192e-05,
18,,10249,,,,1.0780264346976765e-05,
18,,10299,,,,1.4373859812621959e-05,
18,,10349,,,,1.721536864351947e-05,
18,,10399,,,,1.250065633939812e-05,
18,,10449,,,,1.761321800586302e-05,
18,,10499,,,,2.2662217816105112e-05,
18,,10549,,,,2.324159322597552e-05,
18,,10599,,,,1.9918090401915833e-05,
18,,10649,,,,3.4446013160049915e-05,
18,,10696,,,,,0.00046150785055942833
18,,10696,,,2.0306501028244384e-05,,
,0.0001,10697,,,,,
19,,10699,,,,2.799533831421286e-05,
19,,10749,,,,2.721507553360425e-05,
19,,10799,,,,2.1550260498770513e-05,
19,,10849,,,,2.2457285012933426e-05,
19,,10899,,,,1.7087033484131098e-05,
19,,10949,,,,1.3987925740366336e-05,
19,,10999,,,,1.8365866708336398e-05,
19,,11049,,,,1.3501126886694692e-05,
19,,11099,,,,1.811151196307037e-05,
19,,11149,,,,1.431983764632605e-05,
19,,11199,,,,1.567250001244247e-05,
19,,11249,,,,1.8966442439705133e-05,
19,,11259,,,,,0.0004693894006777555
19,,11259,,,2.195250999648124e-05,,
,0.0001,11260,,,,,
20,,11299,,,,1.7887625290313736e-05,
20,,11349,,,,2.7610851248027757e-05,
20,,11399,,,,1.7915257558343e-05,
20,,11449,,,,1.7589161871001124e-05,
20,,11499,,,,1.6490977941430174e-05,
20,,11549,,,,1.6458863683510572e-05,
20,,11599,,,,1.3247823517303914e-05,
20,,11649,,,,1.189093200082425e-05,
20,,11699,,,,1.5634963347110897e-05,
20,,11749,,,,1.3973549357615411e-05,
20,,11799,,,,2.0196137484163046e-05,
20,,11822,,,,,0.0005022787372581661
20,,11822,,,1.724510730127804e-05,,
,0.0001,11823,,,,,
21,,11849,,,,2.4665385353728198e-05,
21,,11899,,,,1.653936124057509e-05,
21,,11949,,,,2.0006289560114965e-05,
21,,11999,,,,1.8088549040840007e-05,
21,,12049,,,,1.555390190333128e-05,
21,,12099,,,,1.7022293832269497e-05,
21,,12149,,,,1.6043431969592348e-05,
21,,12199,,,,2.110926288878545e-05,
21,,12249,,,,2.208579462603666e-05,
21,,12299,,,,1.3433364074444398e-05,
21,,12349,,,,1.544989390822593e-05,
21,,12385,,,,,0.0005132373189553618
21,,12385,,,1.9158333088853396e-05,,
,5e-05,12386,,,,,
22,,12399,,,,1.0629364624037407e-05,
22,,12449,,,,7.837209523131605e-06,
22,,12499,,,,1.0783685866044834e-05,
22,,12549,,,,7.343389370362274e-06,
22,,12599,,,,7.642171112820506e-06,
22,,12649,,,,1.0056852261186577e-05,
22,,12699,,,,1.0142824976355769e-05,
22,,12749,,,,7.2990937951544765e-06,
22,,12799,,,,1.063455238181632e-05,
22,,12849,,,,8.278990208054893e-06,
22,,12899,,,,9.240360668627545e-06,
22,,12948,,,,,0.0004664200241677463
22,,12948,,,8.617144885647576e-06,,
,5e-05,12949,,,,,
23,,12949,,,,1.0056202881969512e-05,
23,,12999,,,,6.413882147171535e-06,
23,,13049,,,,8.215245543397032e-06,
23,,13099,,,,7.3218639045080636e-06,
23,,13149,,,,6.991901045694249e-06,
23,,13199,,,,9.768231393536553e-06,
23,,13249,,,,1.0276026841893326e-05,
23,,13299,,,,8.040362445171922e-06,
23,,13349,,,,8.211691238102503e-06,
23,,13399,,,,1.2468187378544826e-05,
23,,13449,,,,8.847191566019319e-06,
23,,13499,,,,1.0945946087304037e-05,
23,,13511,,,,,0.0004963591927662492
23,,13511,,,8.092285497696139e-06,,
24,,13512,0.0009193649748340249,0.8160691261291504,,,
